video_id,title,thumbnail_url,views,likes,comments,subscriber_count,date_posted,duration,tags,category
reJ2kfoH3XM,Best Cooking Hacks Compilation Video,https://i.ytimg.com/vi/reJ2kfoH3XM/maxresdefault.jpg,1011,18,0,57400,2021-03-08T13:11:55Z,316.0,"['tiktok', 'couple goals', 'gymnastics', 'challenge', 'love', 'the_best_compilation', 'compilation_tiktok', 'tiktokmemes', 'tiktokcompilation', 'tiktokfunny', 'tiktoksongs', 'tiktokvideo', 'tiktokmeme', 'tiktokcomedy', 'tiktoktrend', 'trendingtiktok', 'funnytiktok', 'newtiktoktrend', 'best memes compilation', 'funny moments', 'tiktok compilation', 'videos', 'funny tik tok videos', 'tik tok', 'compilation', '2020 compilation', 'best tiktok', 'recipes', 'food hack', 'life hacks', 'food', 'tiktok food', 'food hacks', 'trucos de comida', 'recette', 'oddly satisfying']",Howto & Style
vdXkPlAESEk,"Smart Cooking Hacks, Quick Snack Ideas And Simply Delicious Recipes",https://i.ytimg.com/vi/vdXkPlAESEk/maxresdefault.jpg,2313,39,1,6750000,2024-09-03T13:00:58Z,3055.0,"['3d pen', '5 minute craft', '5 minute crafts', 'accessories', 'challenge', 'clay', 'craft', 'crafts', 'diy', 'easy', 'epoxy', 'epoxy resin', 'fashion', 'five minutes craft', 'glue', 'glue gun', 'handcraft', 'how to', 'how to make', 'howto', 'interior design', 'jewelry', 'life hacks', 'lifehacks', 'painting ideas', 'polymer clay', 'polymer clay earrings', 'resin', 'slime', 'tik tok', 'tik tok trends', 'tik tok video', 'tiktok', 'tiktok trends', 'tiktok video']",Howto & Style
EpSphLf-VHU,सुगरणीसाठी  किचन टिप्स |Kitchen Tips |Cooking Tips |Cooking Hacks |Kitchen Tips Marathi#food #Tips,https://i.ytimg.com/vi/EpSphLf-VHU/sddefault.jpg,722,8,5,6780,2024-09-03T08:04:07Z,271.0,"['#kitchentips', '#Cookingtips', '#cookinghacks', '#Kitchenhacks', '#food', '#marathirecipe', '#marathikitchen', '#kitchentipsinmarathi', '#kitchentipsandtricksinmarathi', '#zatpatmarathitips', '#smartkitchentips', '#Newkitchentips', '#Usefulkitchenhacks', '#marathikitchenfood', '#tips', '#lifehacksinhindikitchen', '#Kitchentools', '#रोजवापरातयेणाऱ्याकिचनटिप्स', '#किचनटिप्स', '#घरगुतीउपाय', '#howtosetthickcurd', '#ghargutikitchentips', '#kitchentipsmarathi', '#Viralkitchentips', '#trendingkitchentips', '#मराठीरोहिणीकिचन', '#recipe']",Education
UvovumsXKYQ,cooking tips in hindi /kitchen tips and tricks /kitchen hacks.,https://i.ytimg.com/vi/UvovumsXKYQ/sddefault.jpg,44,2,0,951,2024-09-03T09:24:47Z,395.0,['cooking tips in hindi /kitchen tips and tricks /kitchen hacks.'],People & Blogs
ddN8XMzFK1s,🌟 स्मार्ट किचन टीप्स |kitchen tips |cooking tips |cooking hacks| kitchen tips marathi |#kicthentips,https://i.ytimg.com/vi/ddN8XMzFK1s/maxresdefault.jpg,151,1,1,24300,2024-09-01T15:30:37Z,317.0,"[""Laxmi's Tips And Tricks"", 'Tips And Tricks', 'किचन टिप्स', 'Kitchen Tips In Marathi', 'Kitchen Hacks', 'diy', 'New Kitchen Tips', 'cooking', 'Hacks', 'Kitchen tips', 'उपयुक्त किचन टिप्स', 'kitchen tips and tricks', 'kitchen cleaning tips and tricks', 'kitchen hacks', 'cooking hacks', 'useful kitchen tips', 'marathi tips', 'Kitchen tips in marathi', 'ramban upay', 'रामबाण उपाय', 'घरचा वैद्य', 'आजीबाईचा बटवा', 'gharguti upay', 'time saving kitchen tips', 'Viral tips', 'trending tips', 'Cooking tricks', '#trending', '#viralvideo']",Howto & Style
5GBZLMfGiXE,Tom Kerridge's Kitchen Cooking Hacks: How to Fillet a Fish,https://i.ytimg.com/vi/5GBZLMfGiXE/maxresdefault.jpg,1318,22,0,22900,2020-12-18T14:02:37Z,76.0,"['Tom Kerridge', 'recipe', 'tom kerridge recipe', 'food', 'cooking', 'fillet a fish', 'cooking tips', 'fish', 'how to cook', 'tom kerridge', 'recipes', 'cooking equiptment', 'cooking video', 'chef', 'food inspo', 'cooking hacks', 'cooking skills', 'michelin star', 'michelin star chef', 'best chefs', 'food video', 'satisfying food video', 'food ideas', 'cooking lessons', 'kitchen tips', 'kitchen', 'beginners', 'kitchen tricks', 'tips and tricks', 'professional chef', 'cooking for beginners', 'useful kitchen tips']",People & Blogs
_MrYCRmwQKU,#Useful Colgate Hack#useful kitchen hacks #kitchen tips,https://i.ytimg.com/vi/_MrYCRmwQKU/maxresdefault.jpg,425,0,0,885,2024-09-01T14:42:04Z,60.0,"['kitchen tips and tricks', 'tips', 'tricks', 'kitchen hacks', 'amazing tips', 'amazing hacks', 'Useful Hacks']",Travel & Events
IoL_1QtgPHw,11 useful cooking tips & tricks | Cooking hacks,https://i.ytimg.com/vi/IoL_1QtgPHw/maxresdefault.jpg,1665,393,69,4020,2022-01-12T08:43:56Z,575.0,[],People & Blogs
g9wZudUbot0,Me vs Grandma Cooking Challenge | Simple Secret Kitchen Hacks and Tools by 4Teen Challenge,https://i.ytimg.com/vi/g9wZudUbot0/maxresdefault.jpg,70,2,0,27,2024-09-03T14:02:00Z,2099.0,"['challenge', 'challenges', '4teen', '4 teen challenge', '4teen challenge', 'prank', 'pranks', 'fun', 'funny', '24 hours', 'food challenge', 'comedy', 'sketch', 'sketches', 'humor', 'laugh', 'last to', 'funny video']",People & Blogs
