video_id,title,thumbnail_url,views,likes,comments,subscriber_count,date_posted,duration,tags,category
zG56TZYx_ZQ,How To Become A Pilot In 2024,https://i.ytimg.com/vi/zG56TZYx_ZQ/maxresdefault.jpg,17178,516,110,1780,2024-05-13T15:39:33Z,262.0,"['#aviation', '#pilot', '#planes', '#planespotting', '#airbus', '#boeing', '#a380', '#a350', '#a320', '#787', '#737', '#777', '#britishairways', '#easyjet', '#ryanair', '#wizzair', 'aviation', 'weekly dose of aviation', 'funny aviation videos', 'airbus a380']",People & Blogs
TMR4riMNvfo,How to become a PILOT - TAMIL 👨‍✈️,https://i.ytimg.com/vi/TMR4riMNvfo/maxresdefault.jpg,7676,417,114,164000,2024-07-13T13:43:43Z,437.0,"['How to become a pilot', 'How to become a pilot tamil', 'how to become a pilot tamil full details', 'becoming a pilot tamil', 'pilot training tamil', 'tamil pilot']",People & Blogs
-7nkWN2TMVA,How to Become a Pilot with Intermediate Details in Telugu || Pilot Courses offered by DGCA,https://i.ytimg.com/vi/-7nkWN2TMVA/maxresdefault.jpg,13642,373,33,124000,2021-12-30T11:13:41Z,434.0,"['Telugu tech hub', 'how to become pilot in india', 'how to become a pilot', 'how to become pilot in telugu', 'how to become a commercial pilot', 'how to become pilot in india after 12th', 'pilot training in india', 'pilot training', 'how to become pilot in india in telugu', 'how to become pilot full information in telugu']",Education
4mUtxD5Jywg,How to become a PILOT TAMIL | CPL | Aviation Addict |,https://i.ytimg.com/vi/4mUtxD5Jywg/maxresdefault.jpg,5333,330,165,164000,2020-11-18T08:30:01Z,597.0,"['pilot training in tamilnadu', 'pilot training in chennai', 'flying clubs in tamilnadu', 'flying schools in tamilnadu', 'remo aviation college', 'orient flight school', 'tamil aviator', 'chennai aviation', 'bba bsc aviation', 'pilot salary', 'pilot in india', 'how to become a pilot in india', 'flying school india', 'flying clubs india', 'how to become a pilot tamil', 'tamil aviation', 'cpl india', 'pilot training tamil', 'cpl tamil', 'how to become a pilot', 'pilot training in india', 'chimes', 'bombay flying club', 'cpl']",People & Blogs
fsp3SDOBAQA,How to Become a Pilot if you had Commerce or Arts?—FULL DETAILS,https://i.ytimg.com/vi/fsp3SDOBAQA/maxresdefault.jpg,13062,622,73,31900,2022-02-07T08:03:43Z,313.0,"['Can commerce students become pilot', 'Can Arts Students become pilot', 'How to become a pilot if you had Commerce or arts', 'Details about NIOS exams', 'How to prepare for NIOS exams', 'How to become a pilot', 'SpiceJet Cadet Pilot Program', 'Cadet pilot vs Conventional', 'Can I become a pilot without physics and maths', 'Requirements to become a pilot', 'Pilot Eligibility', 'Pilot Gauri', 'Girl Pilot', 'Female Pilot inspiration', 'Indian Pilot']",Education
08xLGgYc_do,FLYING: Can you be too old to train as an airline pilot?,https://i.ytimg.com/vi/08xLGgYc_do/maxresdefault.jpg,69341,2442,295,34800,2024-04-17T09:06:46Z,312.0,[],People & Blogs
rQeg_BeZL-A,Etihad Cabin Crew Becoming Pilot?,https://i.ytimg.com/vi/rQeg_BeZL-A/maxresdefault.jpg,6228,271,29,28300,2022-01-31T11:30:21Z,518.0,"['cabin crew', 'flight attendant', 'travel vlog', 'etihad crew', 'dubai travel', 'jetlagged', 'pilot lifestyle', 'qatar crew']",People & Blogs
rNyLMMoSnIA,Medical Requirements To Become A Pilot ! Feat. Capt Walker.,https://i.ytimg.com/vi/rNyLMMoSnIA/maxresdefault.jpg,5855,268,16,542,2020-12-31T14:13:45Z,438.0,"['aviation', 'pilot', 'studentpilot', 'career', 'goals', 'pilotlife', 'academy', 'school', 'commercialpilot', 'airlines', '12th', 'cbse', 'icse', 'stateboard', 'clouds', 'dreamhigh', 'fly', 'cockpit', 'information', 'medical', 'course', 'airbus', 'boeing', 'video', 'shoot', 'uniform', 'job', 'takeoff', 'landing', 'cruise', 'instagram', 'life', 'motiviation', 'inspiration', 'school', 'university', 'indiA', 'USA', 'phillipines', 'runway', 'aircraft', 'airplane']",People & Blogs
s7y817ljGb0,Is 53 Too Old to Become an Airline Pilot,https://i.ytimg.com/vi/s7y817ljGb0/maxresdefault.jpg,41644,2102,698,39300,2023-04-06T16:01:26Z,709.0,[],Howto & Style
pdnaErAYiKE,HOW TO BECOME AN ARMY PILOT - WARRANT OFFICER ROUTE,https://i.ytimg.com/vi/pdnaErAYiKE/sddefault.jpg,62033,2213,190,10300,2022-11-27T17:58:53Z,564.0,"['army', 'aviation', 'military', 'helicopter', 'blackhawk', 'apache', 'chinook', 'navy', 'marines', 'airforce']",People & Blogs
TQsFUXeuwhA,How can I become a commercial pilot in Pakistan? - #SajidHabib,https://i.ytimg.com/vi/TQsFUXeuwhA/sddefault.jpg,6335,220,42,2120,2023-05-20T07:00:06Z,733.0,"['How to become a pilot?', 'Minimum Requirements', 'International Students', 'Aircrafts You Will Fly', 'What is a commercial pilot do?', 'How can I become a commercial pilot', 'How can I become a commercial pilot in Pakistan?', 'How much does it cost to be a pilot in Pakistan?', 'How hard is it to become a commercial pilot?', 'What qualifications do I need to be a pilot?', 'How to Become a Pilot after 12th', 'Sajid Habib', 'Sajid habib official']",Entertainment
taE0a6MBxTU,8 Ways To Become a Pilot In Indian Army Air Force and Navy,https://i.ytimg.com/vi/taE0a6MBxTU/maxresdefault.jpg,21338,833,32,1040000,2023-11-13T14:30:18Z,367.0,"['how to become pilot in indian army', 'selection of pilots in indian army', 'how to become pilot in army', 'pilots in indian army', 'aviators in indian army', 'indian army pilot', 'army aviation corps', 'how to become a pilot in indian air force', 'how to become a pilot in indian navy']",Education
5VXRmm7T53U,Total Cost to Become a Pilot | Pilot Training Cost in India | Pilot Course Fees | Cost to Get CPL,https://i.ytimg.com/vi/5VXRmm7T53U/maxresdefault.jpg,16569,386,80,63100,2022-07-31T11:30:12Z,209.0,"['How much does Pilot Training cost in INDIA ?', 'Cost of Pilot Training to become an Airline Pilot', 'How much does it cost to become a Pilot in India.', 'Finance & Eligibility to become a Pilot in India', 'Money required to be a pilot in India in 2022', 'DGCA Ground fees', 'flying training cost', 'dgca medical fees', 'type rating cost', 'funds for pilot course', 'How to arrange money to be a Pilot', 'cpl training cost', 'CPL Course fees', 'Commercial pilot training cost', 'airline pilot training fees']",People & Blogs
I6CSGjI--IU,Airline Pilot Vlog | come with me on a 2 day trip!,https://i.ytimg.com/vi/I6CSGjI--IU/maxresdefault.jpg,2004998,61032,1291,123000,2022-12-20T23:34:14Z,799.0,"['airline pilot', 'lifestyle', 'pilot vlogs', 'meal prep', 'pilot life']",Entertainment
LYnAz1X3fn4,5 STEPS HOW TO BECOME A PILOT CAR DRIVER || How to Start a Pilot Car Business,https://i.ytimg.com/vi/LYnAz1X3fn4/maxresdefault.jpg,3153,185,53,3960,2023-05-05T18:13:33Z,792.0,"['pilot car driver', 'pilot car driver career', 'pilot car driver requirements', 'pilot car driver work', 'pilot car business set up', 'pilot car training course', 'pilot car work', 'pilot car jobs', 'pilot car business', 'pilot car set up', 'pilot car equipment', 'pilot car lead car', 'pilot car chase car', 'pilot car classes']",People & Blogs
