video_id,title,thumbnail_url,views,likes,comments,subscriber_count,date_posted,duration,tags,category
UnELIvzsWlo,Price Review Of Lekki Luxury Cars,https://i.ytimg.com/vi/UnELIvzsWlo/sddefault.jpg,9100,164,35,53700,2022-09-05T12:00:12Z,415.0,"['luxury cars', 'luxury dark', 'luxury life', 'best luxury suv', 'luxury suv', 'life of luxury', 'luxury car brands', 'luxury auto', 'luxury brands', 'best luxury cars', 'prices of luxury cars', 'luxury lifestyle', 'luxury car tour', 'luxury bus', 'luxury vehicles', 'luxury cars for sale', 'luxury cruise lines', 'cheap luxury cars', 'car rental luxury', 'car luxury tax', 'car luxury', 'dubai luxury car rental', 'luxury electric cars', 'luxury electric cars 2022', 'luxury escapes reviews', 'price review of luxury cars']",Travel & Events
UYyfLswho8w,Mercedes Benz S-Class 2025: The Ultimate Luxury Car Unveiled!,https://i.ytimg.com/vi/UYyfLswho8w/maxresdefault.jpg,384,3,0,2480,2024-09-02T16:00:27Z,254.0,"['Mercedes Benz S-Class 2025', 'Mercedes Benz', 'S-Class 2025', '2025 Mercedes Benz S-Class', 'luxury sedan', 'new Mercedes S-Class', 'Mercedes Benz review', '2025 S-Class review', 'luxury car review', 'Mercedes Benz features', '2025 Mercedes Benz specs', 'Mercedes Benz interior', 'Mercedes S-Class technology', 'new Mercedes model', 'Mercedes Benz performance', '2025 Mercedes Benz price', 'Mercedes Benz test drive', 'Mercedes Benz S-Class overview', 'car review', 'automotive review']",Autos & Vehicles
bwAby5FjGWk,"2024 Cadillac CT5: A Comprehensive Review of Luxury Performance, and Technology   [Motor Car Review]",https://i.ytimg.com/vi/bwAby5FjGWk/maxresdefault.jpg,80,2,0,53,2024-09-02T12:59:41Z,100.0,[],People & Blogs
7klvFCINnGQ,Audi A3 2024: The Ultimate Compact Luxury Car Review!,https://i.ytimg.com/vi/7klvFCINnGQ/maxresdefault.jpg,296,1,0,146,2024-06-24T17:58:30Z,555.0,"['audi a3 2024', 'audi a3 sedan', '2024 audi a3']",Autos & Vehicles
vVaU-m4Jla0,Odyssey Scent Luxury Car Air Freshener Review,https://i.ytimg.com/vi/vVaU-m4Jla0/hqdefault.jpg,455,4,2,41,2021-03-24T03:33:34Z,567.0,"['cars', 'car', 'car air freshener', 'carairfreshener', 'air freshener', 'fragrance', 'car perfume', 'car fragrance', 'auto', 'car scent', 'car luxury fragrance', 'luxury', 'travel', 'journey', 'carfragrance']",Autos & Vehicles
5-vY1Y2dYbc,2025 Nissan Kicks: The Ultimate Compact SUV Review,https://i.ytimg.com/vi/5-vY1Y2dYbc/maxresdefault.jpg,169,4,1,1220,2024-08-31T09:00:08Z,183.0,"['2025 cars', '2025 nissan', '2025 nissan kicks interior', '2025 nissan kicks price', '2025 review', '2025 suv', 'Luxury Car Collection', 'car review', 'compact crossover', 'compact suv', 'kicks 2025', 'kicks review', 'luxury car', 'luxury cars', 'luxury crossover', 'luxury suv', 'nissan', 'nissan exterior', 'nissan features', 'nissan kicks', 'nissan kicks interior', 'nissan kicks sr', 'nissan kicks sr review', 'nissan kicks sv', 'nissan kicks test drive', 'nissan specs', 'nissan trends', 'nissan usa', 'suv performance']",Autos & Vehicles
bzWLHIfqW64,2025 Cadillac Fleetwood Brougham Review - interior & Exterior and luxury car,https://i.ytimg.com/vi/bzWLHIfqW64/hqdefault.jpg,55,3,1,8,2024-08-30T09:53:17Z,186.0,[],Autos & Vehicles
utg0SsQvD04,BMW 1 Series small size luxury car review - Urdu/Hindi,https://i.ytimg.com/vi/utg0SsQvD04/maxresdefault.jpg,87,1,0,6330,2019-03-31T21:41:04Z,190.0,"['bmw', 'classic car', 'vintage', 'museum', 'collection', 'mini', 'supercar', 'car', 'wierd', 'funny', 'orange', 'fiat', 'ferrari', 'lamborghini', 'rolls royce', 'engine', 'cars', 'mclaren', 'mercedes', 'audi', 'motor', 'porsche', '911', 'aston martin', 'review', 'luxury', 'performance', 'drift', 'race', 'racing', 'f1', 'dealership', 'warranty', 'dodge', 'chevrolet', 'nissan', 'gtr', 'ford', 'suzuki', 'drive', 'driving', 'bugatti', 'koenigsegg', 'top speed', 'acceleration', 'modified', 'mansory', 'amg', 'dubai', 'uae', 'toyota', 'jesko', 'chiron', 'movie', 'walk around', 'first look', '1st look', 'hypercar', 'horsepower', 'v8', 'exotic', 'tesla', 'cybertruck', 'model']",Autos & Vehicles
paC1DQYFY6Q,"NEW 2023 BMW i7 I760X is an incredible $140,000 ultra-luxury electric sedan!",https://i.ytimg.com/vi/paC1DQYFY6Q/maxresdefault.jpg,14434,248,3,3140,2023-03-17T22:14:58Z,680.0,"['Bmwi7', 'Bmw', 'Car reviews', 'luxury cars', 'car review', 'bmw i7', 'bmw', '2023 BMW i7', '2023 BMW i7 I760X', '2023 bmw 7 series', 'bmw 7 series', 'electric sedans 2023', 'best electric sedan', 'best electric sedan cars', 'BMW i7', 'review bmw i7 2023', 'review bmw 7 series', 'new bmw 7 series', 'bmw i7 2023', 'bmw i7 review', '2023 bmw i7', 'BMW model 7', '7 series', 'review cars', 'bmw i7 review car', '2023 bmw 7 series review', '2023 bmw i7 review', '2023 i7 review', 'i7 review', 'i7', 'new bmw i7', 'new 7 series', 'deluxe cars']",Autos & Vehicles
OkHHYsAG2uU,"2024 Luxury Lineup: Porsche Panamera, Mercedes CLE, and Rolls Royce Spectre Review",https://i.ytimg.com/vi/OkHHYsAG2uU/sddefault.jpg,118,1,0,5,2024-09-01T20:55:00Z,684.0,"['2024 Luxury Lineup: Porsche Panamera', 'Mercedes CLE', 'and Rolls Royce Spectre Review Mercedes CLE Rolls Royce Spectre Porsche Panamera']",Autos & Vehicles
Bapzwsi-d8M,"2025 Cadillac XT5 SUV Review: The Ultimate Luxury Experience Revealed!""",https://i.ytimg.com/vi/Bapzwsi-d8M/sddefault.jpg,526,8,0,1590,2024-08-31T02:18:20Z,241.0,"['2025 cadillac xt5', '2025 cadillac', 'cadillac xt5 2025', 'new cadillac xt5 2025', '2025 cadillac xt5 redesign', '2025 cadillac ct5', 'cadillac ct5 2025', '2025 cadillac xt5 review', 'cadillac xt4 2025', 'cadillac', '2025 cadillac ct6', 'cadillac xt 5 2025', '2025 cadillac xt5 specs', 'cadillac 2025', '2025 cadillac xt5 interior', 'cadillac xt5', '2025 cadillac xt5 release date', '2025 xt5', '2025 cadillac xt5 us', '2025 cadillac xt5 price', '2024 cadillac xt4', '2024 cadillac xt5', '2025 cadillac escalade iq']",Autos & Vehicles
