iter	MultiClass
407	0.719870157
408	0.7190932014
409	0.7185623072
410	0.7177701135
411	0.7169284588
412	0.7165011255
413	0.7158276389
414	0.7155139508
415	0.7149299777
416	0.7142001037
417	0.7135692254
418	0.7128196229
419	0.7121492641
420	0.7118871652
421	0.7111745916
422	0.7107005668
423	0.7102203155
424	0.7097507275
425	0.7092679737
426	0.7088256366
427	0.7082295753
428	0.7075694796
429	0.7072089476
430	0.7062161373
431	0.7055195657
432	0.7042071283
433	0.7032661585
434	0.7025635371
435	0.7023045248
436	0.7017162167
437	0.700713009
438	0.7002160323
439	0.6996999636
440	0.698509791
441	0.6977591223
442	0.6972582261
443	0.6964625686
444	0.6959534024
445	0.6951236253
446	0.6943157734
447	0.6937427975
448	0.6932274677
449	0.69305296
450	0.6924138706
451	0.6916415679
452	0.6910649953
453	0.6905916823
454	0.6899740926
455	0.6893782691
456	0.6890757807
457	0.6886365706
458	0.6879483462
459	0.6874360564
460	0.6869207723
461	0.6865109141
462	0.6858729123
463	0.6850671736
464	0.6845018664
465	0.6838437225
466	0.6832068205
467	0.6821672103
468	0.6814846523
469	0.6808299174
470	0.6803779556
471	0.6800354012
472	0.6799803942
473	0.6792039518
474	0.6782460684
475	0.6773008981
476	0.6768851982
477	0.6762047205
478	0.6754847595
479	0.6750172619
480	0.6743427374
481	0.6733831781
482	0.6728413782
483	0.6724709112
484	0.6722078082
485	0.6719611376
486	0.6712424045
487	0.6708926318
488	0.6700757566
489	0.6693955855
490	0.6691594647
491	0.6680827008
492	0.6670092531
493	0.6666175873
494	0.6663956479
495	0.6655548563
496	0.6649112121
497	0.6644286644
498	0.6639602235
499	0.6633772541
500	0.6623732262
501	0.6619855615
502	0.6616462328
503	0.6609060962
504	0.6606164939
505	0.6598824992
506	0.6596315254
507	0.6593162864
508	0.6582004942
509	0.6579550543
510	0.6570120931
511	0.6563835782
512	0.6561130549
513	0.6558494799
514	0.6552337541
515	0.6548159214
516	0.6540160493
517	0.6534135388
518	0.6531174845
519	0.6524260659
520	0.6520408746
521	0.6510851721
522	0.6505088752
523	0.6499792594
524	0.6494572271
525	0.6489193194
526	0.6487124952
527	0.6483195987
528	0.6477653609
529	0.6470691141
530	0.646743867
531	0.6465195196
532	0.6458752455
533	0.6451521127
534	0.6446540577
535	0.6442974439
536	0.6437566326
537	0.6431726268
538	0.6423398485
539	0.6416548586
540	0.6411954468
541	0.640862633
542	0.6401822605
543	0.639588429
544	0.639047408
545	0.6385763107
546	0.6378902959
547	0.6372463343
548	0.6362697382
549	0.6357926263
550	0.6353079138
551	0.6346658602
552	0.6339320491
553	0.63385396
554	0.6332005064
555	0.6328880995
556	0.6324273861
557	0.6319459652
558	0.6314224919
559	0.6310050499
560	0.6303531195
561	0.629663803
562	0.6295379315
563	0.6291076063
564	0.6284522898
565	0.6276807785
566	0.6267364857
567	0.6262497747
568	0.6257920235
569	0.6255801923
570	0.6249260914
571	0.6243492763
572	0.623870132
573	0.623513207
574	0.6232150216
575	0.6227610983
576	0.6223545293
577	0.621890971
578	0.6215541661
579	0.6211048793
580	0.6204698634
581	0.6200942444
582	0.6196663802
583	0.619393728
584	0.6185998142
585	0.6183136042
586	0.6175620343
587	0.6170364139
588	0.6166164478
589	0.6162068686
590	0.6156999882
591	0.6148642629
592	0.6145356655
593	0.6141400999
594	0.6134676457
595	0.6128689371
596	0.6120957673
597	0.6114926676
598	0.6111128352
599	0.6108315115
600	0.6102566814
601	0.6101334904
602	0.6095852774
603	0.6089423091
604	0.6085385716
605	0.6078774532
606	0.6075663788
607	0.6069403535
608	0.6061440873
609	0.6053941915
610	0.6048046279
611	0.6040308121
612	0.6035220134
613	0.6031655171
614	0.6027565412
615	0.6023866588
616	0.6018134323
617	0.6013638986
618	0.6010640342
619	0.600623834
620	0.6000733947
621	0.5996743602
622	0.5988081064
623	0.5984008028
624	0.5979726045
625	0.5978653102
626	0.5975586848
627	0.5968190004
628	0.5963280635
629	0.5953512066
630	0.5947201769
631	0.5941617412
632	0.5936228558
633	0.5931015339
634	0.5927103833
635	0.5925323697
636	0.5919590438
637	0.5915929258
638	0.5913141323
639	0.5902021608
640	0.589867088
641	0.5893888036
642	0.5890509922
643	0.5885650158
644	0.5881833109
645	0.587746678
646	0.586949894
647	0.586441733
648	0.5860281835
649	0.5855828411
650	0.5849518102
651	0.5846241931
652	0.5840658958
653	0.5833998408
654	0.5825889944
655	0.5822099749
656	0.5817829959
657	0.5815342081
658	0.5806422409
659	0.5804494706
660	0.5800526615
661	0.5797360435
662	0.5795062469
663	0.5790960062
664	0.5785307029
665	0.5782317908
666	0.5781083609
667	0.5775324574
668	0.5769907782
669	0.5768353613
670	0.5763591392
671	0.5753694913
672	0.5747638797
673	0.5744295837
674	0.5738393055
675	0.5733452193
676	0.5726855182
677	0.5721300259
678	0.5714361125
679	0.5710425801
680	0.5707591983
681	0.5704692416
682	0.5702986001
683	0.570070514
684	0.569573957
685	0.5691111415
686	0.5686793078
687	0.5683534336
688	0.5678586361
689	0.5672183409
690	0.5670479731
691	0.566416703
692	0.5658147028
693	0.5654391803
694	0.5652903214
695	0.5649538326
696	0.5647714482
697	0.5639813719
698	0.5634998862
699	0.5628518262
700	0.5623415452
701	0.5619356918
702	0.5616730683
703	0.5612646322
704	0.5609415511
705	0.5603492831
706	0.5597251972
707	0.5592349964
708	0.5586949424
709	0.5583216281
710	0.557749823
711	0.5572576901
712	0.5564751018
713	0.555736527
714	0.5552098591
715	0.5547602676
716	0.5541604462
717	0.5537210247
718	0.5534636321
719	0.5528237819
720	0.5523556835
721	0.5516795057
722	0.5512586713
723	0.5506374954
724	0.5502253809
725	0.5499978314
726	0.5493461981
727	0.5487584379
728	0.5478702162
729	0.547597345
730	0.5472242727
731	0.546933822
732	0.5465085719
733	0.5460059727
734	0.5456232222
735	0.5451037352
736	0.5442555306
737	0.5437053418
738	0.5432608885
739	0.5425300432
740	0.5420360834
741	0.5416214916
742	0.5412292162
743	0.5408608643
744	0.5404206933
745	0.5400344211
746	0.5398228306
747	0.5391924075
748	0.5388716933
749	0.5382236209
750	0.5379534443
751	0.5372525038
752	0.5370296482
753	0.5367643837
754	0.5361673328
755	0.5356600362
756	0.5351826873
757	0.5349918251
758	0.5347664796
759	0.5343330797
760	0.5337701332
761	0.5336580918
762	0.5333268056
763	0.5329140067
764	0.5326648613
765	0.5320789294
766	0.5315928846
767	0.531033363
768	0.5304485501
769	0.5298814957
770	0.5294985704
771	0.5288397219
772	0.5281480122
773	0.5276891795
774	0.5271692647
775	0.5267858745
776	0.5265475077
777	0.5259145241
778	0.5256288797
779	0.5252364251
780	0.5247921467
781	0.5242168062
782	0.5235443232
783	0.5232238921
784	0.5229438697
785	0.522499155
786	0.5222562774
787	0.5219079107
788	0.5215002664
789	0.5210995574
790	0.5202598071
791	0.519684301
792	0.5192480088
793	0.5189454946
794	0.5184724082
795	0.5180809498
796	0.5178271168
797	0.5176066134
798	0.5171867128
799	0.5169186619
800	0.5162625811
801	0.515872148
802	0.5154046991
803	0.5150995583
804	0.514647695
805	0.5144036382
806	0.5135254601
807	0.5129914787
808	0.5124798879
809	0.5121010275
810	0.5118666114
811	0.5116105748
812	0.511199277
813	0.5107720512
814	0.5102964367
815	0.5098329357
816	0.5094585523
817	0.5091630289
818	0.5086913109
819	0.5082210482
820	0.5080350446
821	0.5078368735
822	0.5075232089
823	0.506959568
824	0.5067583608
825	0.5060522536
826	0.5058009986
827	0.5053682197
828	0.5048166239
829	0.5040101564
830	0.5035256961
831	0.50324349
832	0.5031304002
833	0.502898447
834	0.5026985228
835	0.5020606004
836	0.5017155823
837	0.5014513179
838	0.5010444374
839	0.5006277011
840	0.5001605266
841	0.4998151804
842	0.4994566812
843	0.4990937793
844	0.4987581237
845	0.4984476639
846	0.4980282693
847	0.4972194291
848	0.4966274591
849	0.4963188815
850	0.4958399128
851	0.4956870545
852	0.4950784233
853	0.4948530808
854	0.4945195232
855	0.4938180936
856	0.4935778125
857	0.493003099
858	0.4924705477
859	0.4920128574
860	0.4915249148
861	0.4910029474
862	0.4904896503
863	0.4901449658
864	0.4892663895
865	0.4889879624
866	0.4883002296
867	0.4880195456
868	0.4878395594
869	0.4875197254
870	0.486562346
871	0.4861581509
872	0.4854133456
873	0.4848444682
874	0.4845405189
875	0.4842312354
876	0.4840076771
877	0.4836226573
878	0.4828877518
879	0.4827289555
880	0.4823960133
881	0.4818436578
882	0.4815862154
883	0.4813125981
884	0.4807522726
885	0.4804353306
886	0.4802745597
887	0.4798094753
888	0.4794152762
889	0.4790364556
890	0.4788165695
891	0.4783521459
892	0.4779262242
893	0.4772753924
894	0.4771040343
895	0.4765205866
896	0.4763196455
897	0.4759309471
898	0.4756014745
899	0.4752775926
900	0.4745848427
901	0.4739386424
902	0.4733798359
903	0.4730993105
904	0.4726378268
905	0.4720636109
906	0.4716768862
907	0.4712598298
908	0.4711333295
909	0.4708978387
910	0.4702067008
911	0.4698439879
912	0.4696030426
913	0.469245234
914	0.4687258966
915	0.4679225094
916	0.467712973
917	0.4674423089
918	0.4668975594
919	0.4666382793
920	0.4662508668
921	0.466116705
922	0.4658042613
923	0.4652657099
924	0.4651111086
925	0.46468384
926	0.464318197
927	0.4640741137
928	0.4635644993
929	0.4633982124
930	0.4632229189
931	0.4627414627
932	0.4622467073
933	0.4618305946
934	0.4614049914
935	0.4609948139
936	0.460724567
937	0.4604458008
938	0.460261313
939	0.4597156489
940	0.4594393415
941	0.4592432725
942	0.4589993213
943	0.4584514073
944	0.4580450678
945	0.457444891
946	0.4571316744
947	0.456606737
948	0.4562277554
949	0.4559618515
950	0.4557672784
951	0.4555138884
952	0.4549364142
953	0.4546032424
954	0.4541781447
955	0.4537160672
956	0.4534928697
957	0.4532387079
958	0.4529220797
959	0.4525068209
960	0.4520881828
961	0.4517407369
962	0.4512795336
963	0.4510417022
964	0.4508054178
965	0.450162015
966	0.4497396408
967	0.4492940165
968	0.4489728806
969	0.4483220215
970	0.4480462086
971	0.4475154472
972	0.4470253894
973	0.4467601224
974	0.4464878312
975	0.4461753302
976	0.4457646186
977	0.4452793481
978	0.4448267939
979	0.4443986338
980	0.4440427868
981	0.4435425977
982	0.4433095165
983	0.4426922903
984	0.4424480333
985	0.4420176603
986	0.4415309763
987	0.4413931112
988	0.4408932754
989	0.4403637816
990	0.4399785564
991	0.4397568858
992	0.4392908215
993	0.4388607069
994	0.4385138505
995	0.4379848969
996	0.4373709307
997	0.4369179006
998	0.4364923988
999	0.4362449686
